Time,Country Name,Country Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],CO2 emissions (kg per 2015 US$ of GDP) [EN.ATM.CO2E.KD.GD],CO2 emissions (kg per 2017 PPP $ of GDP) [EN.ATM.CO2E.PP.GD.KD],CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"CO2 emissions from electricity and heat production, total (% of total fuel combustion) [EN.CO2.ETOT.ZS]",CO2 emissions from gaseous fuel consumption (% of total) [EN.ATM.CO2E.GF.ZS],CO2 emissions from gaseous fuel consumption (kt) [EN.ATM.CO2E.GF.KT],CO2 emissions from liquid fuel consumption (% of total) [EN.ATM.CO2E.LF.ZS],CO2 emissions from liquid fuel consumption (kt) [EN.ATM.CO2E.LF.KT],CO2 emissions from manufacturing industries and construction (% of total fuel combustion) [EN.CO2.MANF.ZS],CO2 emissions from solid fuel consumption (% of total) [EN.ATM.CO2E.SF.ZS],CO2 emissions from solid fuel consumption (kt) [EN.ATM.CO2E.SF.KT],CO2 emissions from transport (% of total fuel combustion) [EN.CO2.TRAN.ZS],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP (constant LCU) [NY.GDP.MKTP.KN],GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP (current LCU) [NY.GDP.MKTP.CN],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, GDP deflator: linked series (annual %) [NY.GDP.DEFL.KD.ZG.AD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%) [SH.UHC.NOP1.ZS],Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%) [SH.UHC.NOP2.ZS],Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%) [SH.UHC.NOPR.ZS],Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.10.ZS],Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49) [SG.VAW.1549.ZS],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Lending interest rate (%) [FR.INR.LEND],"Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","Wage and salaried workers, total (% of total employment) (modeled ILO estimate) [SL.EMP.WORK.ZS]","Vulnerable employment, total (% of total employment) (modeled ILO estimate) [SL.EMP.VULN.ZS]","International tourism, expenditures (current US$) [ST.INT.XPND.CD]","International tourism, expenditures (% of total imports) [ST.INT.XPND.MP.ZS]","International tourism, number of departures [ST.INT.DPRT]","International tourism, number of arrivals [ST.INT.ARVL]","Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Stocks traded, total value (current US$) [CM.MKT.TRAD.CD]","Stocks traded, turnover ratio of domestic shares (%) [CM.MKT.TRNR]"
2014,Australia,AUS,,,0.286750,0.342330,0.344370,379267.200000,16.155750,58.357860,19.629770,72606.600000,32.496200,120196.926000,11.488040,44.189790,163449.191000,24.744500,621420.428900,,9.847600,6139.393070,1945581000000.000000,1322646774172.190000,1599695000000.000000,1468597690006.220000,2.607400,6.078000,13.306000,13.310000,6.080000,2.487920,1.404890,1.404890,110.379810,,,,,,17.822960,,3.300000,5.950000,,,12.700000,86.169140,8.824020,35666000000.000000,11.541250,9480000.000000,6922000.000000,47.901870,703485810000.000000,54.588440
2014,Austria,AUT,0.877090,0.091770,0.164110,0.137170,0.148790,62054.500000,7.260930,32.576510,23.809770,14759.675000,49.169390,30480.104000,17.686740,18.414860,11415.371000,36.623890,75143.187620,,10.368090,5393.602050,340811690000.000000,378134963330.691000,333146070000.000000,442584815286.034000,0.661270,5.674000,10.511000,10.517000,5.670000,1.605810,2.175710,2.175710,109.705010,,,,,,19.098180,,3.100000,,,,16.500000,85.743630,9.554080,,,10994000.000000,25291000.000000,6.488980,28719260000.000000,29.671620
2014,Azerbaijan,AZE,,,0.614140,0.227440,0.193850,32243.400000,3.381560,46.183830,64.978840,21202.594000,35.242760,11499.712000,7.469960,0.022480,7.334000,24.488470,52262.556660,,3.377140,260.826970,29767803400.000000,52501877459.744400,59014100000.000000,75239785452.102200,2.750510,4.910000,13.287000,13.540000,4.910000,1.373440,-1.285000,-1.285000,113.175000,,,,,,65.577230,,25.000000,17.857500,99.956990,99.788990,4.200000,33.095560,56.887270,3163000000.000000,16.040590,4244000.000000,2298000.000000,,,
2014,"Bahamas, The",BHS,2.341270,1.425770,0.217940,0.190400,0.207110,2518.900000,6.473140,,0.000000,0.000000,89.575570,2346.880000,,0.139960,3.667000,,2815.829640,,5.552440,1589.973880,11965100000.000000,11557758065.423700,10974800000.000000,10974800000.000000,1.847110,13.800000,29.195000,,13.800000,1.513760,3.657930,3.657930,107.600020,,,,,,28.340810,,12.200000,4.750000,,,3.300000,84.330430,14.702200,328000000.000000,6.466800,,6320000.000000,,,
2014,Bahrain,BHR,1.804760,-2.035710,0.999510,0.470230,0.443530,30282.700000,23.096570,80.464800,93.895590,28375.246000,7.753850,2343.213000,7.275180,0.000000,0.000000,11.451670,48106.697010,,4.412400,1123.626950,11250600000.000000,30297627559.061500,12553780000.000000,33387712765.957400,4.350390,,5.361000,,1.147000,2.647550,-1.670880,-1.670880,108.522860,,,,,,26.142870,,6.500000,5.868330,,,7.400000,97.275400,1.062810,758000000.000000,2.855110,,10452000.000000,2.149890,717800000.000000,3.252740
2014,Bangladesh,BGD,4.131950,2.842550,0.362210,0.103220,0.106370,66313.100000,0.425190,52.802310,72.052530,45969.512000,24.760870,15797.436000,16.348160,5.500500,3509.319000,14.196240,179287.150700,,2.730230,30.295800,18187859308000.000000,183081877159.745000,13436744000000.000000,172885432686.945000,6.061060,,10.286000,,4.405000,6.991640,5.668790,5.668790,136.126780,,,,,,70.758630,,32.400000,12.945000,85.554730,61.093300,3.500000,39.021950,59.774800,782000000.000000,1.730980,,134000.000000,9.144460,15809430000.000000,23.093650
2014,Barbados,BRB,,,0.277390,0.298460,0.295910,1282.070000,4.620190,,1.989850,25.669000,88.690230,1144.104000,,0.000000,0.000000,,3740.207360,,6.997900,1184.376590,8850400000.000000,4621878809.941420,9415200000.000000,4707600000.000000,-0.001130,12.170000,32.808000,33.770000,12.170000,1.769500,0.471730,0.471730,118.529270,,,,,,43.795730,,13.300000,8.383330,,,0.600000,83.440530,15.760680,115000000.000000,4.974570,,1079000.000000,0.184810,8700000.000000,
2014,Belarus,BLR,3.157720,3.099810,1.012420,0.328990,0.330920,59431.800000,6.290070,57.165250,65.139040,38738.188000,30.275720,18004.970000,9.350510,5.475530,3256.296000,20.511930,92626.099930,,5.387930,438.053890,123379000000.000000,58703016906.462900,80579000000.000000,78812805039.074300,1.726210,0.500000,10.866000,,5.908000,18.119550,18.104960,18.104960,340.948330,0.000000,0.000000,1.340000,6.470000,0.360000,34.894320,,3.300000,18.741670,,,26.300000,96.087330,3.339620,1308000000.000000,2.984960,7236000.000000,5375000.000000,0.031800,25060000.000000,4.359700
2014,Belgium,BEL,1.642970,1.192750,0.199440,0.165370,0.179430,90362.400000,8.061550,25.847070,32.216400,29046.307000,55.082280,49662.181000,20.684520,13.092360,11804.073000,28.628660,106749.580900,,10.575260,5063.925290,408364800000.000000,453086009677.500000,403003300000.000000,535390200131.018000,1.578530,8.523000,23.202000,23.230000,8.520000,0.340000,0.982650,0.982650,108.023220,,,,,,19.281400,,3.400000,,,,19.400000,85.386680,10.504420,26444000000.000000,6.071030,10991000.000000,7887000.000000,20.031700,107247760000.000000,28.333010
2014,Belize,BLZ,5.130170,2.848440,0.227500,0.148690,0.149370,483.700000,1.372840,,0.748370,3.667000,100.281220,491.378000,,0.000000,0.000000,,1248.729510,,6.160970,293.154630,4250201766.746910,2126131097.574900,4250251212.514460,2125125606.257230,4.005320,8.244000,18.293000,18.188000,8.240000,1.201400,1.064820,1.064820,104.690950,,,,,,22.295920,,13.900000,10.821780,,,6.000000,69.251470,23.861980,51000000.000000,4.434310,,1289000.000000,,,
2014,Benin,BEN,6.201780,3.139100,0.463490,0.169410,0.177930,5186.100000,0.488570,2.264810,0.000000,0.000000,81.592410,4495.742000,6.097560,3.394140,187.017000,67.595820,11694.997600,,2.667440,33.383100,6615186000000.000000,11189200116.596300,6559333000000.000000,13284527846.908100,6.357680,,4.401000,,1.808000,-0.548760,-0.247780,-0.247780,109.497320,,,,,,44.012540,,64.600000,5.338330,,,8.200000,20.686650,78.255150,54200000.762940,1.301450,,265000.000000,,,
2014,Bermuda,BMU,,,,,,,,,,0.000000,,649.059000,,,0.000000,,,,,,6226454000.000000,6603330213.037280,6413988000.000000,6413988000.000000,-3.701070,8.940000,,29.280000,,,3.011890,3.011890,,,,,,,,,,,,,,,,378000000.000000,19.319370,,580000.000000,0.369040,23670000.000000,1.478010
2014,Bhutan,BTN,6.457920,5.378250,0.538850,0.139060,0.153620,1012.400000,1.374880,,0.000000,0.000000,47.202870,443.707000,,26.917340,253.023000,,1649.683310,0.178000,3.557910,86.810330,139843379740.782000,1878802421.165300,116388798800.000000,1907090375.977760,5.776500,2.630000,9.023000,9.390000,2.630000,8.271060,6.920960,6.920960,142.193560,,,,,,21.171230,,28.500000,14.025000,,,4.400000,28.874370,71.013100,42599998.474120,3.809150,,133000.000000,,,
2014,Bolivia,BOL,3.135470,1.495070,0.618920,0.235340,0.257810,19478.300000,1.784220,24.644810,37.960810,7656.696000,52.668810,10623.299000,11.530060,0.000000,0.000000,40.710380,52832.121580,,5.896140,178.208800,40588155800.000000,31471565408.631200,228003659200.000000,32996188017.366100,5.460570,2.021000,4.608000,4.757000,2.020000,5.766600,2.049500,2.049500,128.437100,0.030000,0.330000,1.200000,6.250000,1.150000,30.904360,,26.900000,9.694230,99.440000,,6.200000,37.306480,54.658640,953000000.000000,7.376970,932000.000000,871000.000000,,,
2014,Bosnia and Herzegovina,BIH,1.021910,2.337100,1.240430,0.464220,0.489980,19506.800000,5.462460,70.721550,1.787400,348.365000,21.016110,4096.039000,9.805740,74.713480,14561.657000,13.737280,24689.437360,,9.490110,492.211980,27732356000.000000,15725819000.029500,27358709700.000000,18558733564.469200,1.153850,27.517000,63.373000,62.659000,27.520000,,1.000340,1.000340,,,,,,,28.922340,,5.500000,6.641510,,,10.600000,76.955290,18.465420,205000000.000000,1.951340,,536000.000000,,,
2014,Botswana,BWA,9.208460,7.126210,0.491460,0.210840,0.215640,6988.912000,3.091930,54.505810,0.000000,0.000000,42.121640,3003.273000,10.029070,53.950670,3846.683000,32.122090,12708.585740,,5.880410,402.457580,161188600000.000000,14220639811.991600,138860798400.000000,15470088500.741400,5.694780,,34.615000,,18.397000,4.402250,9.604000,11.904110,128.934550,,,,,,3.717100,,38.700000,9.000000,,,19.600000,69.538320,28.024180,277000000.000000,3.075780,,,,,
2014,Brazil,BRA,-0.641540,-1.490230,0.273820,0.160210,0.160530,511618.000000,2.514590,26.309820,15.410260,78096.099000,67.633780,342754.490000,20.602080,14.536160,73666.363000,44.752320,1127554.010000,,8.396440,1013.568420,4263019865100.000000,1868463501755.790000,5778953000000.000000,2456043727198.850000,0.503960,6.755000,15.450000,15.405000,6.760000,6.329040,7.846710,7.846710,126.927210,,,,,,28.180250,,14.600000,32.008330,98.850000,91.729430,5.600000,70.638080,25.333880,29998000000.000000,9.166390,9617000.000000,6430000.000000,26.228010,644171360000.000000,76.333190
2014,British Virgin Islands,VGB,,,,,,,,,,0.000000,,212.686000,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.300000,,,,,,,,,,386000.000000,,,
2014,Brunei Darussalam,BRN,-2.022600,-3.187540,0.545430,0.269170,0.212340,7080.300000,16.993160,72.089550,97.225480,6776.616000,24.253760,1690.487000,5.074630,0.000000,0.000000,20.149250,9190.901460,,1.914370,785.590270,18670625400.000000,12981227716.001600,21663600000.000000,17097802752.872800,-2.508350,6.862000,24.397000,25.273000,6.860000,-0.207110,-1.846460,-1.846460,100.431580,,,,,,7.334600,,8.600000,5.500000,,,1.800000,91.058140,5.269000,616000000.000000,10.521350,,,,,
2014,Bulgaria,BGR,2.237620,2.820380,0.855770,0.303150,0.330460,42054.400000,5.821530,69.048180,12.816700,5412.492000,26.084940,11015.668000,8.070260,59.220790,25008.940000,19.511040,54624.017980,,7.682830,605.258910,86628148000.000000,49142357612.888600,84147688000.000000,57157782909.930700,0.949450,11.424000,23.796000,23.775000,11.420000,-1.418180,1.340780,1.340780,106.718970,,,,,,40.240940,,7.300000,8.262640,,,10.400000,87.514330,8.677420,1459000000.000000,3.921720,4158000.000000,9409000.000000,,,
2014,Burkina Faso,BFA,3.221690,0.191290,0.263230,0.089320,0.100700,2997.000000,0.164940,,0.000000,0.000000,91.310730,2757.584000,,0.000000,0.000000,,26220.725870,,5.000270,38.370660,6731359012200.000000,11385699970.030000,6884466390200.000000,13943016076.743600,4.326850,6.481000,7.015000,8.697000,4.280000,-0.258090,-0.620390,-0.620390,106.975890,2.020000,0.930000,1.610000,3.130000,0.420000,34.078480,,61.200000,5.338330,50.096300,34.599400,8.000000,12.132060,87.217000,176000000.000000,4.064840,,191000.000000,,,
2014,Burundi,BDI,4.494760,1.056350,0.112940,0.041810,0.047690,364.800000,0.034760,,0.000000,0.000000,84.623080,330.030000,,3.761030,14.668000,,3242.800610,,7.210820,18.590820,1791999714300.000000,3229972475.405450,4184999000000.000000,2705783329.804830,4.240650,1.572000,2.926000,2.935000,1.570000,4.405350,5.305660,5.305660,145.932090,,,,,,31.001070,,48.400000,15.668330,79.559610,61.513490,6.700000,12.723320,86.558070,,,,235000.000000,,,
2014,Cabo Verde,CPV,-0.393170,-1.512400,0.286340,0.135600,0.151770,496.400000,0.909030,,0.000000,0.000000,98.275600,491.378000,,0.000000,0.000000,,665.877060,,5.327220,181.441960,172298058500.000000,1733630380.444900,169550647000.000000,2041930125.429790,0.696670,,26.403000,,11.715000,-0.238780,-0.100320,-0.100320,108.482210,,,,,,25.699050,,18.100000,10.893760,,,14.400000,58.799860,37.319360,115000000.000000,9.312100,,494000.000000,,,
2014,Cambodia,KHM,3.434800,1.999070,0.411700,0.135190,0.142790,6947.200000,0.456730,19.836070,0.000000,0.000000,75.884220,5031.124000,2.622950,14.435700,957.087000,63.606560,29452.734060,,6.701580,73.588330,40182030612000.000000,16874510037.718000,67436791276000.000000,16702610842.352900,7.142570,0.692000,1.071000,1.045000,0.690000,3.855690,2.632200,2.632200,116.076750,,,2.300000,13.160000,4.110000,58.621780,10.900000,28.700000,,90.141870,78.055090,5.100000,43.484960,56.349050,527000000.000000,3.736070,956000.000000,4503000.000000,,,
2014,Cameroon,CMR,7.851350,4.626700,0.269750,0.104450,0.109440,8222.800000,0.368740,32.615890,10.977340,850.744000,68.371810,5298.815000,7.119210,0.000000,0.000000,53.807950,88018.742260,,3.787660,61.803690,18141050479000.000000,30482787768.478300,17966123162000.000000,36386544706.080600,5.719820,3.534000,6.177000,6.286000,3.530000,1.854900,2.014210,2.014210,109.925640,2.140000,1.740000,1.600000,10.710000,1.780000,64.505480,32.700000,59.500000,,,,10.000000,22.346900,74.563110,830000000.000000,8.574490,,822000.000000,,,
2014,Canada,CAN,2.190370,1.168150,0.363260,0.333350,0.346470,561760.500000,15.852180,38.729270,36.040810,202488.073000,45.089680,253327.361000,12.043980,13.347480,74990.150000,31.793440,710549.609000,,10.258070,5231.947750,1977588250000.000000,1546457292386.530000,1994897000000.000000,1805749878439.940000,2.873470,7.023000,13.239000,13.210000,7.020000,1.906640,1.941200,1.944600,107.462790,0.000000,0.100000,1.200000,3.500000,0.800000,14.583630,,4.700000,3.000000,,,12.700000,84.691300,10.678310,,,63737000.000000,25558000.000000,74.417220,1343788840000.000000,64.149890
2014,Cayman Islands,CYM,,,,,,,,,,0.000000,,546.383000,,,0.000000,,,,,,3815363100.000000,4578454033.816140,3802362800.000000,4562853611.414450,2.654530,4.700000,,18.630000,,1.273980,0.886730,0.886730,106.079860,,,,,,,,,,,,,,,168000000.000000,,,1993000.000000,,,
2014,Central African Republic,CAF,-3.456740,-3.382420,0.080230,0.035510,0.040550,130.400000,0.027170,,0.000000,0.000000,96.564330,289.693000,,0.000000,0.000000,,20639.438340,,4.565570,18.027480,624654000000.000000,1625333052.559440,935578000000.000000,1894813389.403250,0.081070,,10.488000,,5.833000,14.898680,11.893800,11.893800,131.211910,,,,,,46.463430,,85.300000,,,,15.600000,6.583140,92.225760,,,,95699.996950,,,
2014,Chad,TCD,10.235050,6.369090,0.139190,0.058160,0.064720,1483.100000,0.108280,,0.000000,0.000000,95.966170,902.082000,,0.000000,0.000000,,65261.996170,,4.273170,43.675870,5471995900000.000000,10655483043.652400,6883356000000.000000,13940767218.584900,6.899990,,1.330000,,0.883000,1.681970,0.645790,0.645790,111.791870,,,,,,55.721200,,77.800000,,,,7.100000,8.656200,90.400240,,,,119000.000000,,,
2014,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,20.394000,,8.354000,,,,,,,,,,,,,,,,,84.363670,11.508360,,,,,,,
2014,Chile,CHL,1.589690,0.572000,0.322570,0.178890,0.190020,76560.300000,4.328590,43.015430,10.868030,8302.088000,57.407580,43853.653000,18.678280,31.941640,24400.218000,31.077690,96490.374950,,7.807300,1150.061650,172908949590000.000000,237342873662.242000,147951290040000.000000,259560978407.095000,1.792650,6.761000,17.027000,16.897000,6.650000,4.718680,5.852890,5.852890,113.467000,,,,,,34.268730,,6.900000,8.098060,,,9.900000,74.068810,21.740790,2707000000.000000,3.222820,3842000.000000,4601000.000000,10.452600,27130870000.000000,11.631900
